,unit,patch
532,95,10
533,96,10
534,98,10
535,120,10
536,129,10
537,130,10
538,132,10
539,133,10
540,136,10
541,137,10
542,138,10
543,142,10
544,143,10
545,145,10
546,146,10
547,149,10
548,150,10
549,151,10
550,154,10
551,159,10
552,161,10
553,162,10
554,164,10
555,167,10
556,168,10
557,170,10
558,171,10
559,172,10
560,174,10
561,177,10
562,178,10
563,179,10
564,184,10
565,196,10
566,197,10
567,198,10
568,201,10
569,209,10
570,210,10
571,211,10
572,213,10
573,215,10
574,217,10
575,219,10
576,223,10
577,224,10
578,225,10
579,227,10
580,228,10
581,231,10
582,234,10
583,237,10
584,239,10
585,240,10
586,241,10
587,242,10
588,243,10
589,244,10
590,245,10
591,246,10
592,248,10
593,250,10
594,252,10
595,253,10
596,254,10
597,295,10
598,303,10
599,320,10
600,324,10
601,327,10
602,333,10
603,335,10
604,336,10
605,355,10
606,356,10
607,357,10
608,361,10
609,363,10
610,366,10
611,377,10
612,378,10
613,379,10
614,381,10
615,383,10
616,384,10
617,387,10
618,388,10
619,389,10
620,390,10
621,391,10
622,392,10
623,395,10
624,398,10
625,399,10
626,400,10
627,401,10
628,403,10
629,405,10
630,406,10
631,408,10
632,409,10
633,410,10
634,415,10
635,11,11
636,16,11
637,18,11
638,19,11
639,24,11
640,25,11
641,26,11
642,28,11
643,128,11
644,129,11
645,130,11
646,131,11
647,132,11
648,133,11
649,135,11
650,136,11
651,137,11
652,138,11
653,139,11
654,142,11
655,143,11
656,261,11
657,264,11
658,59,12
659,109,12
660,120,12
661,2,13
662,49,13
663,66,13
664,69,13
665,168,13
666,181,13
667,183,13
668,17,14
669,18,14
670,179,14
671,319,14
672,445,14
673,224,15
674,297,15
675,318,15
676,321,15
677,338,15
